Island Group,Quality note,Quality,,Sample ID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,SPOT image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,
Kalimantan,,9,,3699,Primary degraded,NA,1990,High,Yes,High,,1992,1990,Degraded - Nearby clearing,High,,1996,1993,Cleared - Palm estates,high,,,,,,,Perkebunan,sawit,Degraded - Nearby clearing Cleared - Palm estates ,Disagree - major,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3700,Primary intact,NA,1990,high,yes,high,,1999,1997,Degraded - Selective Logging,Low,,2009,2008,Cleared - Palm estates,High,,,,,,,Perkebunan,sawit,Degraded - Selective Logging Cleared - Palm estates ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3701,Primary degraded,NA,1990,Low,yes,high,,1992,1991,Cleared - Abandoned/transitional,Low,,2016,2015,Cleared - Abandoned/transitional,High,,,,,,,Belukar,,Cleared - Abandoned/transitional Cleared - Abandoned/transitional ,Disagree - major,Yes,2011,No,Low,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3702,Primary intact,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3703,Primary degraded,NA,1990,Low,yes,High,Not sure if pixel was degraded or intact in 1990,2011,2010,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3704,Non Forest,NA,1990,High,no,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3705,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3706,Primary intact,NA,1992,high,yes,High,,1998,1996,Cleared - Abandoned/transitional,High,,2006,2005,Cleared - Abandoned/transitional,High,,,,,,,Belukar,"Located within a palm estate, but not yet planted",Cleared - Abandoned/transitional Cleared - Abandoned/transitional ,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3707,Primary degraded,NA,1990,low,no,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3708,Primary intact,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3709,Primary degraded,NA,1997,low,no,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - major,Yes,none,No,Low,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3710,Primary degraded,NA,1990,low,no,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - major,Yes,none,No,Low,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3711,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3712,Primary intact,NA,1990,high,yes,high,,1996,1994,Cleared - Palm estates,High,,,,,,,,,,,,Perkebunan,sawit,Cleared - Palm estates  ,Agree,Yes,none,No,High,Diana checked,"There may have been a fire event that affected the pixel in 1998, but they seem to have immediately replanted",,,,,,,,,,,,,,,,,
Kalimantan,,9,,3713,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,landsat 2015-2016 berawan,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3714,Primary degraded,NA,1991,low,no,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Disagree - major,Yes,2014,No,Low,Diana checked,,?,,,,,,,,,,,,,,,,
Kalimantan,,6,,3715,Primary degraded,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3716,Primary intact,NA,1990,high,yes,high,,1995,1994,Degraded - Selective Logging,high,"Pixel not visible in 1995, but logging roads within the white circle are visible",2009,2008,Cleared - Palm estates,high,,,,,,,Perkebunan,sawit,Degraded - Selective Logging Cleared - Palm estates ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3717,Primary intact,NA,1991,high,yes,high,,2000,1999,Degraded - Selective Logging,high,,,,,,,,,,,,Hutan Sekunder,landsat 2015-2016 berawan,Degraded - Selective Logging  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3718,Primary intact,NA,1990,high,yes,high,,1992,1991,Cleared - Abandoned/transitional,high,,2010,2009,Cleared - Palm estates,high,,,,,,,Perkebunan,sawit,Cleared - Abandoned/transitional Cleared - Palm estates ,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3719,Non Forest,NA,1994,low,no,low,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Disagree - major,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3720,Primary degraded,NA,1994,high,yes,high,,2014,2013,Degraded - Nearby clearing,high,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3721,Primary intact,NA,1992,high,yes,high,,2014,2013,Cleared - Abandoned/transitional,high,,,,,,,,,,,,Lahan Terbuka,"Likely part of a palm estate, but not yet planted",Cleared - Abandoned/transitional  ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3722,Primary intact,NA,1997,high,yes,high,,2010,2009,Cleared - Roading,high,Logging road,,,,,,,,,,,Belukar,,Cleared - Roading  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3723,Primary degraded,NA,1992,low,yes,high,Sample complete!,1997,1994,Cleared - Roading,Low,Possible logging road? Or possible the pixel was just aggressively logged,,,,,,,,,,,Belukar,landsat 2016 dan spot berawan,Cleared - Roading  ,Disagree - major,No,none,No,Low,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3724,Primary intact,NA,1997,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,landsat 2015-2016 berawan,  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3725,Primary intact,NA,1992,high,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3726,Non Forest,NA,1994,low,no,low,Sample complete!,,,,,,,,,,,,,,,,Belukar Rawa,,  ,Disagree - minor,Yes,none,No,Low,Diana checked,Unsure whether the pixel was already cleared in 1990,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3727,Primary degraded,NA,1990,low,yes,low,,2007,2006,Cleared - Abandoned/transitional,Low,,,,,,,,,,,,Belukar,,Cleared - Abandoned/transitional  ,Disagree - major,Yes,none,No,Low,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3728,Primary intact,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3729,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3730,Primary degraded,NA,1991,high,yes,high,,1998,1995,Cleared - Fire,High,,2007,2006,Cleared - Palm estates,High,,,,,,,Perkebunan,sawit,Cleared - Fire Cleared - Palm estates ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3731,Primary intact,NA,1992,high,Yes,low,,2003,2001,Degraded - Selective Logging,Low,,,,,,,,,,,,Hutan Sekunder,landsat 2016 berawan,Degraded - Selective Logging  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3732,Primary intact,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3733,Non Forest,NA,1994,low,no,High,,,,,,,,,,,,,,,,,Perkebunan,Rubber,  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3734,Primary intact,NA,1994,low,yes,high,,1997,1996,Degraded - Selective Logging,high,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Agree,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3735,Primary degraded,NA,1994,low,No,high,,,,,,,,,,,,,,,,,Hutan Sekunder,landsat 2015 dan spot berawan,  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3736,Primary intact,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3737,Primary degraded,NA,1995,low,yes,high,,1998,1997,Degraded - Selective Logging,high,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3738,Non Forest,NA,1990,high,no,high,,,,,,,,,,,,,,,,,Belukar,landsat 2015-2016 berawan,  ,Disagree - minor,Yes,2012,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3739,Non Forest,NA,1991,High,no,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3740,Non Forest,NA,1990,High,no,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3741,Primary intact,NA,1990,high,yes,high,,2003,2002,Degraded - Nearby clearing,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3742,Primary intact,NA,1991,high,yes,high,,1999,1998,Degraded - Selective Logging,high,,,,,,,,,,,,Hutan Sekunder,landsat 2015-2016 berawan,Degraded - Selective Logging  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3743,Primary intact,NA,1991,high,No,high,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3744,Non Forest,NA,1990,low,no,low,,,,,,,,,,,,,,,,,Belukar Rawa,landsat 2015-2016 dan spot berawan,  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3745,Primary intact,NA,1994,high,yes,high,,1999,1998,Degraded - Selective Logging,high,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3746,Primary intact,NA,1992,low,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3747,Primary intact,NA,1994,low,yes,high,,1998,1996,Degraded - Fire,high,,2006,2005,Cleared - Palm estates,high,,,,,,,Perkebunan,sawit,Degraded - Fire Cleared - Palm estates ,Disagree - minor,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3748,Primary intact,NA,1994,high,yes,high,,2015,2014,Degraded - Nearby clearing,high,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3749,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3750,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3751,Non Forest,NA,1990,High,No,high,,,,,,,,,,,,,,,,,Pemukiman,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3752,Non Forest,NA,1997,Low,no,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,data spot tidak tersedia,  ,Agree,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3753,Non Forest,NA,1994,High,no,high,,,,,,,,,,,,,,,,,Belukar Rawa,landsat 2015-2016 dan spot tidak tersedia,  ,Agree,No,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3754,Non Forest,NA,1996,Low,no,high,No image until 1996,,,,,,,,,,,,,,,,Belukar Rawa,landsat 2015-2016 dan spot tidak tersedia,  ,Agree,Yes,2007,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3755,Primary intact,NA,1993,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,No,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3756,Non Forest,NA,1990,High,no,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3757,Non Forest,NA,1990,High,no,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3758,Non Forest,NA,1990,High,no,high,Sample complete!,,,,,,,,,,,,,,,,Lahan Terbuka,,  ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3759,Primary degraded,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Sekunder,spot tidak tersedia,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3760,Primary degraded,NA,1990,high,yes,low,,2003,2002,Degraded - Selective Logging,high,,,,,,,,,,,,Hutan Sekunder,spot tidak tersedia,Degraded - Selective Logging  ,Disagree - minor,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3761,Non Forest,NA,1991,High,no,high,,,,,,,,,,,,,,,,,Perkebunan,sawit,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3762,Primary degraded,NA,1990,high,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Sekunder,,  ,Disagree - minor,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3763,Primary degraded,NA,1990,high,yes,high,,1999,1990,Degraded - Nearby clearing,high,,2008,2007,Cleared - Palm estates,High,,,,,,,Perkebunan,sawit,Degraded - Nearby clearing Cleared - Palm estates ,Disagree - minor,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,1,,3764,Primary degraded,NA,1990,low,yes,high,,1998,1996,Degraded - Fire,high,,2003,2002,Cleared - Small-holder land use,high,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Fire Cleared - Small-holder land use ,Disagree - minor,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3765,Primary degraded,NA,1994,Low,no,low,,,,,,,,,,,,,,,,,Hutan Rawa Sekunder,,  ,Disagree - major,Yes,none,No,Low,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3766,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Disagree - major,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3767,Non Forest,NA,1990,Low,no,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3768,Non Forest,NA,1993,High,no,high,Sample complete!,,,,,,,,,,,,,,,,Perkebunan,sawit,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3769,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,spot tidak tersedia,  ,Agree,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3770,Primary intact,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3771,Primary degraded,NA,1995,high,Yes,low,,2002,2001,Degraded - Peatland draining nearby,Low,,,,,,,,,,,,Hutan Rawa Sekunder,,Degraded - Peatland draining nearby  ,Disagree - major,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3772,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3773,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,No,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3774,Non Forest,NA,1990,high,no,High,,,,,,,,,,,,,,,,,Belukar Rawa,,  ,Agree,Yes,2013,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,1,,3775,Primary degraded,NA,1990,high,yes,high,,1994,1990,Cleared - Abandoned/transitional,high,,2007,2006,Cleared - Abandoned/transitional,high,,2015,2014,Cleared - Abandoned/transitional,high,,Belukar,,Cleared - Abandoned/transitional Cleared - Abandoned/transitional Cleared - Abandoned/transitional,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3776,Non Forest,NA,1995,High,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering,,  ,Agree,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3777,Non Forest,NA,1996,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Lahan Terbuka,,  ,Agree,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3778,Primary intact,NA,1990,low,Yes,High,,2003,2002,Cleared - Small-holder land use,High,,,,,,,,,,,,Belukar,,Cleared - Small-holder land use  ,Disagree - major,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3779,Non Forest,NA,1993,high,No,high,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - major,Yes,2014,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3780,Primary degraded,NA,1991,High,No,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3781,Non Forest,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3782,Primary intact,NA,1991,high,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3783,Non Forest,NA,1990,high,No,High,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - minor,No,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3784,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2016,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3785,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2015,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,3786,Primary intact,NA,1990,high,no,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Diana checked,,,,,,,,,,,,,,,,,,
Kalimantan,,7,,3787,Primary intact,NA,1990,high,no,high,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3788,Primary intact,NA,1990,high,yes,high,,1999,1997,Cleared - Abandoned/transitional,High,,2003,2002,Cleared - Abandoned/transitional,high,,,,,,,Belukar Rawa,,Cleared - Abandoned/transitional Cleared - Abandoned/transitional ,Agree,Yes,2014,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,7,,3789,Primary degraded,NA,1991,high,yes,high,,1994,1991,Cleared - Abandoned/transitional,Low,not sure year of clearing but based on google earth 1994 cleared,2013,2012,Cleared - Tree plantations,High,,,,,,,Hutan Tanaman,,Cleared - Abandoned/transitional Cleared - Tree plantations ,Disagree - major,Yes,2014,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3790,Non Forest,NA,1990,High,No,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2015,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,1,,3791,Non Forest,NA,1990,High,No,high,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,2013,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,7,,3792,Primary intact,NA,1990,high,no,high,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2010,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,4,,3793,Primary intact,NA,1990,high,yes,low,,2000,1990,Degraded - Nearby clearing,low,,2002,2001,Degraded - Nearby clearing,High,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing Degraded - Nearby clearing ,Disagree - minor,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,7,,3794,Primary intact,NA,1990,high,yes,high,,1994,1990,Cleared - Abandoned/transitional,high,,,,,,,,,,,,Lahan Terbuka,,Cleared - Abandoned/transitional  ,Agree,No,2013,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3795,Non Forest,NA,1990,High,No,high,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Disagree - minor,Yes,2015,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,2,,3796,Non Forest,NA,1990,high,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Disagree - minor,Yes,2014,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3797,Primary intact,NA,1990,high,yes,High,,2007,2005,Degraded - Selective Logging,Low,,2014,2013,Degraded - Nearby clearing,High,,2016,2015,Cleared - Abandoned/transitional,High,,Lahan Terbuka,,Degraded - Selective Logging Degraded - Nearby clearing Cleared - Abandoned/transitional,Disagree - minor,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3798,Primary intact,NA,1990,high,yes,high,,1999,1997,Degraded - Fire,Low,,2007,2006,Cleared - Abandoned/transitional,high,,2015,2014,Cleared - Abandoned/transitional,High,,Belukar Rawa,,Degraded - Fire Cleared - Abandoned/transitional Cleared - Abandoned/transitional,Disagree - minor,Yes,2015,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3799,Primary intact,NA,1996,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,2,,3800,Primary intact,NA,1990,High,yes,low,Sample complete!,1994,1993,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Rawa Sekunder,,Degraded - Selective Logging  ,Disagree - minor,Yes,2015,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3801,Primary intact,NA,1991,High,no,high,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,7,,3802,Primary intact,NA,1991,High,no,high,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3803,Primary intact,NA,1996,High,no,high,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,3804,Primary intact,NA,1993,high,Yes,high,No free of cloud imange 1990-1995,1996,1993,Degraded - Nearby clearing,High,,2004,2003,Cleared - Abandoned/transitional,High,,2016,2015,Cleared - Palm estates,High,,Perkebunan,,Degraded - Nearby clearing Cleared - Abandoned/transitional Cleared - Palm estates,Disagree - major,Yes,2015,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3805,Primary degraded,NA,1993,High,No,High,,,,,,,,,,,,,,,,,Hutan Sekunder,,  ,Agree,Yes,2013,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3806,Primary intact,NA,1992,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3807,Primary intact,NA,1998,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,3808,Primary intact,NA,1991,High,no,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
Kalimantan,,7,,3809,Primary intact,NA,1996,High,no,high,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Anna checked,,,,,,,,,,,,,,,,,,
