Island Group,Quality note,Quality,,Sample ID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,SPOT image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,
Kalimantan,,9,,2898,Primary intact,NA,1998,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2899,Non Forest,NA,1992,High,No,High,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - major,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2900,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2901,Primary intact,NA,1996,High,Yes,High,,1999,1997,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Rawa Sekunder,,Degraded - Selective Logging  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2902,Primary intact,NA,1991,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2903,Primary degraded,NA,1990,High,Yes,High,,2008,2007,Cleared - Abandoned/transitional,High,,,,,,,,,,,,Belukar Rawa,,Cleared - Abandoned/transitional  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2904,Non Forest,NA,1990,High,No,High,completely in the body of river,,,,,,,,,,,,,,,,Air,,  ,Agree,No,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2905,Primary intact,NA,1990,High,Yes,High,,2008,2007,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2906,Primary intact,NA,1994,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2907,Primary intact,NA,1990,High,Yes,Low,,1998,1997,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,1998 degraded-selective logging,Degraded - Selective Logging  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2908,Primary degraded,NA,1990,High,Yes,High,,1996,1992,Cleared - Abandoned/transitional,High,,,,,,,,,,,,Belukar Rawa,,Cleared - Abandoned/transitional  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,2909,Primary degraded,NA,1993,High,Yes,High,No free cloud cover until 1994,1999,1997,Cleared - Abandoned/transitional,Low,,2003,2002,Cleared - Fire,High,,2016,2015,Cleared - Fire,High,Change 3 in 2016 not 2014,Belukar Rawa,,Cleared - Abandoned/transitional Cleared - Fire Cleared - Fire,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,2910,Primary intact,NA,1993,High,Yes,High,No free cloud cover until 1993,1996,1993,Cleared - Abandoned/transitional,Low,,2006,2005,Cleared - Abandoned/transitional,low,,2009,2008,Cleared - Abandoned/transitional,Low,,Belukar Rawa,,Cleared - Abandoned/transitional Cleared - Abandoned/transitional Cleared - Abandoned/transitional,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2911,Primary degraded,NA,1990,High,Yes,High,,1998,1996,Cleared - Abandoned/transitional,High,,,,,,,,,,,,Belukar Rawa,,Cleared - Abandoned/transitional  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,2912,Non Forest,NA,1993,High,No,High,,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2913,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2013,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
