Island Group,Check,Quality note,Quality,Sample ID QC,Sample ID,SampleID (from user join),1990 Landcover,1990 sub-class,First year of cloud free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,,,
Sulawesi,Same sample ID,OK,9,6514,6514,6514,Primary intact,NA,1997,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6515,6515,6515,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6516,6516,6516,Non Forest,NA,1997,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,"image not available until 1996, but in google earth since 1990 has non forest",  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6517,6517,6517,Primary intact,NA,1990,High,Yes,High,,1997,1994,Degraded - Nearby clearing,High,,1999,1998,Cleared - Small-holder land use,High,,,,,,,Pertanian Lahan Kering Campur Semak,,Degraded - Nearby clearing Cleared - Small-holder land use ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6518,6518,6518,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2012,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6519,6519,6519,Primary degraded,NA,1990,High,Yes,High,Sample complete!,2009,2008,Degraded - Nearby clearing,High,,2013,2012,Degraded - Nearby clearing,High,,2016,2015,Degraded - Nearby clearing,High,,Hutan Sekunder,,Degraded - Nearby clearing Degraded - Nearby clearing Degraded - Nearby clearing,Disagree - minor,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6520,6520,6520,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,SPOT not available,  ,Agree,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6521,6521,6521,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6522,6522,6522,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,"image not available until 1993, but in google earth since 1990 has non forest",  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
Sulawesi,Same sample ID,OK,9,6523,6523,6523,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,,,
