ISLAND,ID,FINAL_LU_UMD,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,NUM_CHANGE,X1990_LC,CH1_YR,CH1_TYPE,CH2_YR,CH2_TYPE,CH3_YR,CH3_TYPE,CH4_YR,CH4_TYPE,CH5_YR,CH5_TYPE,CH6_YR,CH6_TYPE,KLHK_LU,TRAJECTORY
Sumatera,7930,Cleared - Abandoned,2006,Degraded - Selective logging,2013,Cleared - Abandoned,3,Primary intact,2006,Degraded - Selective logging,2013,Cleared - Abandoned,2016,Cleared - Abandoned,0,NA,0,NA,0,NA,Lahan Terbuka,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Abandoned
Sumatera,7963,Cleared - Tree plantation,1999,Degraded - Selective logging,2008,Cleared - Tree plantation,3,Primary intact,1999,Degraded - Selective logging,2008,Cleared - Tree plantation,2015,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary intact > Degraded - Selective logging > Cleared - Tree plantation > Cleared - Tree plantation
Sumatera,7983,Cleared - Smallholder,1998,Degraded - Nearby clearing,2009,Cleared - Abandoned,3,Primary intact,1998,Degraded - Nearby clearing,2009,Cleared - Abandoned,2015,Cleared - Smallholder,0,NA,0,NA,0,NA,Pertanian Lahan Kering Campur Semak,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Smallholder
Sumatera,8107,Cleared - Abandoned,2003,Degraded - Selective logging,2008,Cleared - Abandoned,3,Primary degraded,2003,Degraded - Selective logging,2008,Cleared - Abandoned,2010,Cleared - Abandoned,0,NA,0,NA,0,NA,Belukar,Primary degraded > Degraded - Selective logging > Cleared - Abandoned > Cleared - Abandoned
Sumatera,8155,Cleared - Palm estate,2005,Degraded - Nearby clearing,2006,Cleared - Abandoned,3,Primary intact,2005,Degraded - Nearby clearing,2006,Cleared - Abandoned,2014,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Sumatera,8208,Cleared - Palm estate,2002,Degraded - Nearby clearing,2005,Cleared - Tree plantation,3,Primary intact,2002,Degraded - Nearby clearing,2005,Cleared - Tree plantation,2011,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Nearby clearing > Cleared - Tree plantation > Cleared - Palm estate
Sumatera,8296,Cleared - Palm estate,1999,Degraded - Selective logging,2007,Cleared - Abandoned,3,Primary intact,1999,Degraded - Selective logging,2007,Cleared - Abandoned,2014,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Palm estate
Sumatera,8755,Cleared - Palm estate,1996,Degraded - Selective logging,1998,Cleared - Abandoned,3,Primary intact,1996,Degraded - Selective logging,1998,Cleared - Abandoned,2007,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Palm estate
Sumatera,8804,Cleared - Tree plantation,2e3,Degraded - Selective logging,2006,Cleared - Tree plantation,3,Primary intact,2000,Degraded - Selective logging,2006,Cleared - Tree plantation,2013,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary intact > Degraded - Selective logging > Cleared - Tree plantation > Cleared - Tree plantation
Sumatera,9278,Cleared - Palm estate,1995,Degraded - Selective logging,1998,Cleared - Abandoned,3,Primary intact,1995,Degraded - Selective logging,1998,Cleared - Abandoned,2008,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Selective logging > Cleared - Abandoned > Cleared - Palm estate
